AE - 01 Campaign Performance
"January 1, 2025 - July 13, 2026"
Month,Campaign,Campaign state,Campaign type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
March 2026,pMax (test),Enabled,Performance Max,"3,023","185,698",1.63%,USD,0.66,1992.89,0,0,73.29,1,27.19,1.70%
February 2026,pMax (test),Enabled,Performance Max,"2,741","160,230",1.71%,USD,0.61,1681.19,0,0,46.22,0,36.37,1.61%
April 2026,pMax (test),Enabled,Performance Max,"2,363","140,056",1.69%,USD,0.64,1520.55,0,0,41.32,1,36.80,1.54%
January 2026,pMax (test),Enabled,Performance Max,"2,337","152,660",1.53%,USD,0.73,1708.22,0,0,53.50,0,31.93,1.50%
October 2025,pMax (test),Enabled,Performance Max,"2,260","143,037",1.58%,USD,0.47,1052.44,0,0,33.51,0,31.41,0.95%
December 2025,pMax (test),Enabled,Performance Max,"1,826","121,723",1.50%,USD,0.58,1057.98,0,0,38.78,0,27.28,1.13%
November 2025,pMax (test),Enabled,Performance Max,"1,750","100,753",1.74%,USD,0.61,1063.66,0,0,34.09,0,31.20,1.09%
September 2025,pMax (test),Enabled,Performance Max,"1,678","110,123",1.52%,USD,0.63,1063.69,0,0,27.00,0,39.40,0.67%
December 2025,pMax (nativity only),Paused,Performance Max,"1,546","78,784",1.96%,USD,0.27,421.65,0,0,12.80,0,32.94,0.39%
May 2026,pMax Candles (Legacy),Enabled,Performance Max,"1,542","15,002",10.28%,USD,0.32,486.00,0,0,24.00,0,20.25,1.43%
August 2025,pMax (test),Enabled,Performance Max,"1,406","117,367",1.20%,USD,0.76,1064.21,0,0,26.99,0,39.43,1.78%
April 2026,pMax Candles (Legacy),Enabled,Performance Max,"1,377","43,113",3.19%,USD,0.40,552.79,0,0,9.33,0,59.23,0.55%
November 2025,pMax (annual pubs),Paused,Performance Max,"1,305","53,147",2.46%,USD,0.35,456.09,0,0,31.01,0,14.71,2.00%
July 2025,pMax (test),Enabled,Performance Max,"1,282","108,235",1.18%,USD,0.66,845.32,0,0,29.01,0,29.14,2.26%
February 2025,pMax Candles (Legacy),Enabled,Performance Max,"1,243","82,013",1.52%,USD,0.55,686.64,0,0,7.00,0,98.09,0.56%
November 2025,pMax (Holiday),Paused,Performance Max,"1,207","87,937",1.37%,USD,0.50,607.58,0,0,16.94,0,35.86,0.57%
April 2025,Religious Goods_religious_goods_store,Paused,Search,"1,201","7,655",15.69%,USD,0.41,487.34,38.18%,50.02%,139.00,0,3.51,11.57%
May 2025,Religious Goods_religious_goods_store,Paused,Search,"1,137","6,954",16.35%,USD,0.38,435.76,41.06%,55.21%,108.00,0,4.03,9.50%
December 2025,pMax Candles (Legacy),Enabled,Performance Max,"1,136","56,879",2.00%,USD,0.66,751.95,0,0,9.04,0,83.15,0.12%
May 2025,pMax Candles (Legacy),Enabled,Performance Max,"1,133","68,070",1.66%,USD,0.49,551.40,0,0,8.00,0,68.93,0.70%
July 2025,pMax Candles (Legacy),Enabled,Performance Max,"1,105","96,814",1.14%,USD,0.82,907.30,0,0,14.50,0,62.57,0.99%
April 2025,pMax Candles (Legacy),Enabled,Performance Max,"1,100","54,966",2.00%,USD,0.47,517.00,0,0,12.00,0,43.08,1.09%
March 2025,pMax Candles (Legacy),Enabled,Performance Max,"1,082","59,459",1.82%,USD,0.48,517.20,0,0,14.00,0,36.94,1.29%
June 2025,pMax Candles (Legacy),Enabled,Performance Max,"1,057","68,485",1.54%,USD,0.66,696.58,0,0,17.52,0,39.76,1.47%
November 2025,pMax Candles (Legacy),Enabled,Performance Max,994,"77,206",1.29%,USD,0.61,608.19,0,0,9.63,0,63.16,0.11%
June 2025,pMax (test),Enabled,Performance Max,993,"83,480",1.19%,USD,0.61,606.31,0,0,32.98,0,18.38,3.08%
March 2025,Religious Goods_religious_goods_store,Paused,Search,991,"6,277",15.79%,USD,0.47,470.50,36.45%,49.65%,111.25,0,4.23,11.23%
