AE - 02 Ad Group Performance
"January 1, 2025 - July 13, 2026"
Ad group,Campaign,Campaign state,Ad group state,Campaign type,Campaign subtype,Labels on Ad group,Ad group bid strategy,Ad group bid strategy type,Ad group sitelinks: active,Ad group sitelinks: disapproved,Ad group sitelinks level,Ad group phone numbers: active,Ad group phone numbers: disapproved,Ad group phone numbers level,Ad group apps: active,Ad group apps: disapproved,Ad group apps level,Ad group desktop bid adj.,Ad group mobile bid adj.,Ad group tablet bid adj.,Ads: active,Ads: disapproved,Keywords: active,Keywords: disapproved,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
Religious Goods Store,Religious Goods_religious_goods_store,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,6,0,3,0,"2,874","19,491",14.75%,USD,0.37,1068.37,31.21%,46.90%,208.50,0,5.12,7.25%
Religious Goods_religious_goods_store - dynamic ad group,Religious Goods_religious_goods_store,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,1,0,0,0,"1,367","8,769",15.59%,USD,0.58,788.82,42.88%,54.09%,245.75,0,3.21,17.98%
Church Supplies,Search | Non-Brand | Tier A - NYC Metro Core,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,14,0,821,"10,934",7.51%,USD,1.86,1526.55,35.84%,70.46%,26.50,0,57.61,3.23%
250th Cards,250th - Patriotic Prayer Cards - Shopping,Enabled,Enabled,Shopping,Shopping ads, --, --,Manual CPC,0,0, --,0,0, --,0,0, --, --, --, --,1,0,0,0,652,"32,038",2.04%,USD,0.69,449.57,0,0,1.00,0,449.57,0.15%
Church Supplies,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,14,0,406,"5,780",7.02%,USD,1.85,751.43,34.72%,70.15%,16.00,0,46.96,3.94%
St. Killian's Candles,Chiarelli's St. Killian's Candles,Paused,Enabled,Search,All features, --, --,Target Impression Share,0,0, --,0,0, --,0,0, --, --, --, --,1,0,4,0,307,"7,069",4.34%,USD,0.59,180.98,36.03%,73.28%,4.00,0,45.24,1.30%
Brand - Core,Search | Brand Defense,Enabled,Enabled,Search,All features, --, --,Target Impression Share,0,0, --,0,0, --,0,0, --, --, --, --,2,0,7,0,216,878,24.60%,USD,0.04,9.61,54.55%,76.50%,23.00,0,0.42,10.65%
Communion Ads,Communion,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,3,0,110,0,208,918,22.66%,USD,0.32,66.14,64.76%,67.49%,20.00,0,3.31,9.62%
Church Supplies,Search | Non-Brand | Tier C - Southern Expansion,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,14,0,200,"2,673",7.48%,USD,1.60,319.83,35.14%,69.80%,12.50,0,25.59,6.25%
Outdoor Statues,Communion,Paused,Paused,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,0,0,0,0,114,553,20.61%,USD,0.23,26.70,51.63%,61.44%,12.00,0,2.23,10.53%
Communion & Garden - dynamic ad group,Communion,Paused,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,1,0,0,0,78,435,17.93%,USD,0.35,27.64,54.17%,61.46%,16.00,0,1.73,20.51%
Killian's - Dynamic Ads,Chiarelli's St. Killian's Candles,Paused,Enabled,Search,All features, --, --,Target Impression Share,0,0, --,0,0, --,0,0, --, --, --, --,1,0,0,0,43,804,5.35%,USD,3.31,142.46,50.64%,80.06%,0.00,0,0,0.00%
Altar Bread & Communion Hosts,Search | Non-Brand | Tier A - NYC Metro Core,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,13,0,21,570,3.68%,USD,2.58,54.19,28.03%,65.70%,2.00,0,27.09,9.52%
Altar Bread & Communion Hosts,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,13,0,20,423,4.73%,USD,2.09,41.85,25.23%,66.77%,1.50,0,27.90,7.50%
Votive Candles,Search | Non-Brand | Tier A - NYC Metro Core,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,13,0,13,251,5.18%,USD,2.31,30.08,26.35%,55.09%,1.00,0,30.08,7.69%
Votive Candles,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,13,0,8,151,5.30%,USD,0.94,7.55,24.74%,62.89%,0.00,0,0,0.00%
Altar Bread & Communion Hosts,Search | Non-Brand | Tier C - Southern Expansion,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,13,0,8,206,3.88%,USD,1.03,8.27,23.60%,64.60%,0.50,0,16.55,6.25%
Altar Candles,Search | Non-Brand | Tier A - NYC Metro Core,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,8,0,7,214,3.27%,USD,1.62,11.32,27.97%,74.83%,0.00,0,0,0.00%
Baptism Candles,Search | Non-Brand | Tier B - Neighboring,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,6,0,7,78,8.97%,USD,1.16,8.13,47.50%,85.00%,1.00,0,8.13,14.29%
Baptism Candles,Search | Non-Brand | Tier A - NYC Metro Core,Enabled,Enabled,Search,All features, --, --,Maximize Conversions,0,0, --,0,0, --,0,0, --, --, --, --,2,0,6,0,6,157,3.82%,USD,0.93,5.56,38.37%,77.91%,0.00,0,0,0.00%
