"February 22, 2026 - February 28, 2026",,,Google Ads Performance,,,,,,,,,,,,Business Performance,,,,,,,,,,,,Phone Calls,,,Post Phone Call Walk-Ins,,,Web Reservations,,,,Phone Calls,,,Post Phone Call Walk-Ins,,,Web Reservations,,
Brand,Region,Category,Impr.,Clicks,Cost,Calls,Resv.,Main Conv.,CPA,tCPA,Imp. Share,IS Lost to Budget,IS Lost to Rank,Conv. Rate,Conv. Rate,Revenue/Car,GP/Car,GP %,Cost/Car,Car Count,,,,Curent IS,Row,,Car Count,Revenue,GP,Car Count,Revenue,GP,Car Count,Revenue,GP,,Conv. Rate,Revenue/Car,GP/Car,Conv. Rate,Revenue/Car,GP/Car,Conv. Rate,Revenue/Car,GP/Car
BP,ARIZONA,CP,3185,117,125.92000000000002,34,13,47,2.679148936170213,2.65,0.1689027947181418,0.011131993424192608,0.8310992734793445,0.4017094017094017,0.1094224924012158,371.34722222222223,299.30555555555554,0.7986095755645086,25.184000000000005,5,,,,17,27,,,,,47,16131,13167,25,10606,8383,,,,,1.3823529411764706,343.21276595744683,280.1489361702128,1.9230769230769231,424.24,335.32
BP,ARIZONA,NB BRAKES,14427,1331,6429.3,248,74,322,19.966770186335403,16,0.37189699172531127,0.048,0.5801,0.24192336589030805,0.18064076346284935,503.4433962264151,402.05471698113206,0.7986095755645086,110.85000000000001,58,,,,37,47,,,,,257,128987,103015,273,137838,110074,,,,,1.0362903225806452,501.89494163424126,400.8365758754864,3.689189189189189,504.9010989010989,403.2014652014652
BP,ARIZONA,NB BRAKES T2,6311,372,1161.33,37,24,61,19.038196721311476,15.37,0.3471970072069098,0,0.6528,0.1639784946236559,0.18064076346284935,503.4433962264151,402.05471698113206,0.7986095755645086,105.57545454545453,11,,,,35,45,,,,,257,128987,103015,273,137838,110074,,,,,6.945945945945946,501.89494163424126,400.8365758754864,11.375,504.9010989010989,403.2014652014652
BP,ARIZONA,NB OIL CHANGE,19250,1426,4558.3,195,139,334,13.647604790419162,11,0.3628994250164954,0.0128,0.6244,0.23422159887798036,0.22536806342015855,109.67336683417085,80.1105527638191,0.7986095755645086,60.77733333333334,75,,,,36,46,,,,,79,8957,6637,120,12868,9305,,,,,0.40512820512820513,113.37974683544304,84.0126582278481,0.8633093525179856,107.23333333333333,77.54166666666667
BP,ARIZONA,NB OTHER SERVICES,4540,309,369.47,53,24,77,4.7983116883116885,3.75,0.13429965981363703,0.005,0.8606,0.24919093851132687,0.09610027855153204,438.92753623188406,349.4830917874396,0.7986095755645086,52.78142857142858,7,,,,13,23,,,,,100,38966,32119,107,51892,40224,,,,,1.8867924528301887,389.66,321.19,4.458333333333333,484.97196261682245,375.9252336448598
BP,ARIZONA,NB WHEEL ALIGNMENT,6646,490,1173.03,82,31,113,10.380796460176992,7.8,0.4533115067185049,0,0.5467,0.23061224489795917,0.17889908256880735,202.1346153846154,178.3846153846154,0.7986095755645086,58.6515,20,,,,45,55,,,,,71,15649,13611,85,15884,14217,,,,,0.8658536585365854,220.40845070422534,191.70422535211267,2.7419354838709675,186.87058823529412,167.25882352941176
BP,ARIZONA,TOTAL,54359,4045,13817.35,649,305,954,14.483595387840671,-,0.3415346724385999,-,-,0.23584672435105067,0.2258365551259832,415.9403778040142,332.8459268004722,0.8012097455788093,78.50767045454546,176,,,,34,44,,,,,811,337677,271564,883,366926,292277,,,,,1.2496147919876734,416.3711467324291,334.85080147965476,2.8950819672131147,415.54473386183463,331.004530011325
BP,COLORADO,CP,11729,237,501.38000000000005,80,9,88,5.697500000000001,4,0.3192607109804562,0.00040350590669062007,0.6803398225270836,0.37130801687763715,0.12206572769953052,361.625,287.7307692307692,0.7986095755645086,45.580000000000005,11,,,,32,42,,,,,110,39468,31019,98,35750,28829,,,,,1.375,358.8,281.9909090909091,10.88888888888889,364.7959183673469,294.1734693877551
BP,COLORADO,NB BRAKES,14662,1071,5712.98,162,86,248,23.036209677419354,19.32,0.3555975941016686,0.0051,0.6394,0.2315592903828198,0.218802275008364,586.7370030581039,475.46941896024464,0.7986095755645086,105.79592592592591,54,,,,36,46,,,,,277,149050,119553,377,234676,191404,,,,,1.7098765432098766,538.086642599278,431.59927797833933,4.383720930232558,622.4827586206897,507.7029177718833
BP,COLORADO,NB BRAKES T2,6369,359,1527.04,40,18,58,26.328275862068963,18.63,0.35000274770566575,0,0.65,0.1615598885793872,0.218802275008364,586.7370030581039,475.46941896024464,0.7986095755645086,117.46461538461539,13,,,,35,45,,,,,277,149050,119553,377,234676,191404,,,,,6.925,538.086642599278,431.59927797833933,20.944444444444443,622.4827586206897,507.7029177718833
