Date,Bid Strategy Status,Bid strategy,Bid strategy type,System Status,Account,Campaigns,Currency code,Target CPA,Avg. Target CPA,Actual CPA,Cost / conv.,Cost (Converted currency) / conv.,Cost,Cost (Converted currency),Conversions,Conv. rate,Converted currency code
"February 22, 2026 - February 28, 2026",Enabled,NTB - Northeast - Maximize Conversion - Non-Brand - Auto Service,Maximize Conversions,Active,NTB,1,USD,4.2,5.12,4.81,4.81,4.81,1766.81,1766.81,367.13,0.4021,USD
"February 22, 2026 - February 28, 2026",Enabled,zz_MAVIS - Louisiana - Maximize Conversions (tCPA) - Non-Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Midwest - Maximize Conversions Non-Brand - Oil Change,Target CPA,Active,NTB,1,USD,7,7,8.48,8.48,8.48,531.62,531.62,62.66,0.2915,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - TEXAS - Maximize Conversions - Non-Brand - New Stores,Maximize Conversions,Active,Mavis Tire Express Services MCC,3,USD,9.5,9.5,11.5,11.5,11.5,23,23,2,0.25,USD
"February 22, 2026 - February 28, 2026",Enabled,AGT 2 - Florida - Maximize Conversions - Brand,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,5.79,6.16,8.47,8.47,8.47,327.55,327.55,38.65,0.3753,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - West Central - Maximize Conversions - Non-Brand - New Stores,Maximize Conversions,Inactive,Mavis Tire Express Services MCC,1,USD,6.52,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - South Carolina - Maximize Conversions - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,5.12,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia - Southern - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - South Carolinas 2 - Maximize Conversions - Brand,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,3.5,3.97,4.48,4.48,4.48,14014.15,14014.15,3126.94,0.3727,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - North Carolinas 2 - Maximize Conversions - Competitors,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,3.61,3.78,4.31,4.31,4.31,1190.14,1190.14,275.83,0.3702,USD
"February 22, 2026 - February 28, 2026",Enabled,Top of Page,Target search page location,Active,Tire Kingdom,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - TEXAS - Maximize Conversions - Non-Brand - Auto Service,Maximize Conversions,Active,Mavis Discount Tire,1,USD,6,6.82,8.1,8.1,8.1,531.58,531.58,65.66,0.2806,USD
"February 22, 2026 - February 28, 2026",Enabled,Central Eastern - BR,Maximize Conversions,Inactive,Express Oil Change & Tire Engineers,0,USD,12.93,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MELVIN - Rhode Island - Maximize Conversions (tCPA) - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,6.4,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Florida - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - FLORIDA - Maximize Conversions - Non-Brand - New Stores,Maximize Conversions,Active,Mavis Tire Express Services MCC,3,USD,6,6.35,9.79,9.79,9.79,122.37,122.37,12.5,0.2604,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Central - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,10,USD,16,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - NYC Boroughs - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,7,USD,7,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia 2 - Maximize Conversions - Brand,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,10,USD,2,2.9,3.4,3.4,3.4,21434.5,21434.5,6296.62,0.4213,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Louisiana - Maximize Conversions - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,5.12,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Illinois 2 - Maximize Conversions - Non-Brand - Auto Service,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,1,USD,4.5,4.75,5.25,5.25,5.25,425.25,425.25,81,0.3665,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Midwest - Maximize Conversion - Non-Brand - Brakes,Maximize Conversions,Active,NTB,2,USD,8,8,9.25,9.25,9.25,1013.27,1013.27,109.58,0.266,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Maximize Conversion - New Stores,Maximize Conversions,Inactive,Brakes Plus,5,USD,15,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC Central Eastern - Maximize Conversion - Non Brand _PP 1124_TN,Maximize Conversions,Inactive,Express Oil Change & Tire Engineers,3,USD,9.7,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - Hudson Valley - Maximize Conversions - Non-Brand - Auto Service,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,1,USD,3,3,5.36,5.36,5.36,192.5,192.5,35.92,0.2897,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - North Carolinas 2 - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,4.04,4.18,5.06,5.06,5.06,2640.81,2640.81,521.88,0.3326,USD
"February 22, 2026 - February 28, 2026",Enabled,Mavis - UPS - Maximize Conversions - Carolinas,Target CPA,Inactive,Mavis Discount Tire,0,USD,15,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia - Greater Atlanta - Maximize Conversions - Trademark - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,Southwest - BR - Adobe,Maximize Conversions,Inactive,Brakes Plus,12,USD,11,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Arizona - Maximize Conversion - Non Brand - Wheel Alignment,Maximize Conversions,Active,Brakes Plus,1,USD,7.8,7.97,10.09,10.09,10.09,1173.03,1173.03,116.3,0.2373,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF - Illinois - Maximize Conversions (tCPA) - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,3,USD,9.6,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,ADT - New York - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Active,Mavis Tire Express Services MCC,1,USD,7.5,7.5,8.17,8.17,8.17,1797.66,1797.66,219.96,0.3034,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Virginias - Maximize Conversion - Non-Brand - Tires,Maximize Conversions,Active,NTB,5,USD,4.6,4.6,4.49,4.49,4.49,8793.14,8793.14,1959.1,0.3988,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC - Southern - Maximize Conversion - Non Brand - Brakes,Maximize Conversions,Active,Express Oil Change & Tire Engineers,1,USD,5.5,5.5,5.96,5.96,5.96,623.11,623.11,104.55,0.2888,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Texas - Maximize Conversion - Non-Brand - Tires,Maximize Conversions,Limited (budget constrained),NTB,4,USD,5.8,6.74,6.3,6.3,6.3,6600.85,6600.85,1047.92,0.2747,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - TEXAS - Maximize Conversions Non-Brand - Oil Change,Target CPA,Active,Mavis Discount Tire,1,USD,6,7.11,7.82,7.82,7.82,1120.57,1120.57,143.24,0.2876,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF - Carolinas - Maximize Conversions (tCPA) - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,10,USD,20,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,Miami FL | NB - Tires by Name - B - Enhanced CPC,Enhanced CPC,Inactive,Tire Kingdom,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,AGT 2 - Florida - Maximize Conversions - Non-Brand - Brakes,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD,16,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Mississippi - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,20.48,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - South Carolinas 2 - Maximize Conversions - Competitors,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,3.3,3.72,4.64,4.64,4.64,897.89,897.89,193.6,0.3391,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF 2 - National - Maximize Conversions - Non-Brand - Brakes,Maximize Conversions,Active,Mavis Discount Tire,1,USD,5,5,6.63,6.63,6.63,298.39,298.39,45,0.3358,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey 2 - Maximize Conversions - Non-Brand - Auto Service,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,1,USD,3.5,4,5.37,5.37,5.37,658.48,658.48,122.64,0.3021,USD
"February 22, 2026 - February 28, 2026",Enabled,TUF - Carolinas - Maximize Conversions (tCPA) - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,21,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC - PP 0824 - Maximize Conversions - Brand,Maximize Conversions,Inactive,Express Oil Change & Tire Engineers,5,USD,10,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Northern - Maximize Conversions - Trademark - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,1,USD,5.12,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia - Savannah - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,7,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,zz_MAVIS - Georgia - Savannah - Maximize Conversions (tCPA) - Non-Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,AGT - Florida - Maximize Conversions (tCPA) - CP,Maximize Conversions,Inactive,Mavis Discount Tire,2,USD,10,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Colorado - Maximize Conversion - Brand,Maximize Conversions,Limited (budget constrained),Brakes Plus,5,USD,2.5,2.5,3.1,3.1,3.1,6945.24,6945.24,2243.67,0.4056,USD
"February 22, 2026 - February 28, 2026",Enabled,TK - Florida - Maximize Conversions - Competitors,Maximize Conversions,Active,Tire Kingdom,4,USD,3.7,4.26,4.53,4.53,4.53,2055.06,2055.06,453.2,0.3428,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Southwest - PP 0824 - Maximize Conversion - Competitors,Maximize Conversions,Inactive,Brakes Plus,3,USD,9.8,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,AGT - Florida - Maximize Conversions (tCPA) - Brand - Phrase,Maximize Conversions,Inactive,Mavis Discount Tire,6,USD,9.6,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,JWT - Pennsylvania - Maximize Conversions (tCPA) - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,10,USD,4.75,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Pennsylvania - Maximize Conversions - Brand - Exact,Maximize Conversions,Inactive,Mavis Discount Tire,7,USD,7.68,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - NYC Boroughs - Maximize Conversions - Non-Brand - Tires,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,16,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New Jersey - Central - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,10,USD,22.48,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,NTB - Midwest - Maximize Conversion - Competitors,Maximize Conversions,Active,NTB,4,USD,3.4,4,4.75,4.75,4.75,407.54,407.54,85.77,0.3153,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Illinois 2 - Maximize Conversions - Competitors,Maximize Conversions,Active,Mavis Discount Tire,4,USD,3.75,3.75,4.02,4.02,4.02,832.87,832.87,207.22,0.3993,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - NORTH CAROLINA - Maximize Conversions - Non-Brand - New Stores,Maximize Conversions,Active,Mavis Tire Express Services MCC,4,USD,7.66,7.66,7.53,7.53,7.53,159.33,159.33,21.17,0.4319,USD
"February 22, 2026 - February 28, 2026",Enabled,EOC - Alabama - Maximize Conversion - Non Brand - Services,Maximize Conversions,Active,Express Oil Change & Tire Engineers,6,USD,3.7,4.06,4.75,4.75,4.75,2507.6,2507.6,527.68,0.3329,USD
"February 22, 2026 - February 28, 2026",Enabled,TK - Florida - Maximize Conversions - Non-Brand - Auto Service,Maximize Conversions,Limited (budget constrained),Tire Kingdom,1,USD,5.4,5.4,5.51,5.51,5.51,1499.8,1499.8,272.08,0.387,USD
"February 22, 2026 - February 28, 2026",Enabled,BP - Midwest - Maximize Conversion - Oil Change,Maximize Conversions,Limited (budget constrained),Brakes Plus,1,USD,15,15.47,16.74,16.74,16.74,7009.64,7009.64,418.68,0.2581,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Florida 2 - Maximize Conversions - Brand,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,10,USD,4,4.67,6.18,6.18,6.18,28347.15,28347.15,4584.44,0.3787,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Georgia 2 - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Limited (budget constrained),Mavis Discount Tire,4,USD,4,4.63,5.52,5.52,5.52,4489.07,4489.07,813.24,0.3626,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Illinois 2 - Maximize Conversion Value - Non Brand - Brakes,Target ROAS,Inactive,Mavis Tire Express Services MCC,0,USD, --,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - Alabama - Maximize Conversions - Non-Brand - Services,Maximize Conversions,Inactive,Mavis Discount Tire,8,USD,6.16,0,0,0,0,0,0,0,0,USD
"February 22, 2026 - February 28, 2026",Enabled,MAVIS - New York - West Central - Maximize Conversions - Non-Brand - Oil Change,Target CPA,Limited (budget constrained),Mavis Discount Tire,1,USD,8.17,9.11,11.33,11.33,11.33,1978.49,1978.49,174.65,0.2975,USD
