1,2,3,4,5,6,7,8,9,
Campaign,Brand,Engine,Camp Type,Category,Category 1,Category 2,Region,Category 3,
BP_G_PMX_ARIZONA,BP,G,PMX,PMX,PMX,PMX,ARIZONA,,
BP_G_PMX_COLORADO,BP,G,PMX,PMX,PMX,PMX,COLORADO,,
BP_G_PMX_NEBRASKA,BP,G,PMX,PMX,PMX,PMX,NEBRASKA,,
BP_G_PMX_TEXAS,BP,G,PMX,PMX,PMX,PMX,TEXAS,,
BP_G_SEM_BR_ARIZONA_BRAND ONLY,BP,G,SEM,BR,BR,BR,ARIZONA,BRAND ONLY,
BP_G_SEM_BR_ARIZONA_BRAND+,BP,G,SEM,BR,BR,BR,ARIZONA,BRAND+,
BP_G_SEM_BR_ARIZONA_BRAND+OIL CHANGE,BP,G,SEM,BR,BR,BR,ARIZONA,BRAND+OIL CHANGE,
BP_G_SEM_BR_ARIZONA_BRAND+SERVICES,BP,G,SEM,BR,BR,BR,ARIZONA,BRAND+SERVICES,
BP_G_SEM_BR_ARIZONA_BRAND+WHEEL ALIGNMENT,BP,G,SEM,BR,BR,BR,ARIZONA,BRAND+WHEEL ALIGNMENT,
BP_G_SEM_BR_COLORADO_BRAND ONLY,BP,G,SEM,BR,BR,BR,COLORADO,BRAND ONLY,
BP_G_SEM_BR_COLORADO_BRAND+,BP,G,SEM,BR,BR,BR,COLORADO,BRAND+,
BP_G_SEM_BR_COLORADO_BRAND+OIL CHANGE,BP,G,SEM,BR,BR,BR,COLORADO,BRAND+OIL CHANGE,
BP_G_SEM_BR_COLORADO_BRAND+SERVICES,BP,G,SEM,BR,BR,BR,COLORADO,BRAND+SERVICES,
BP_G_SEM_BR_COLORADO_BRAND+WHEEL ALIGNMENT,BP,G,SEM,BR,BR,BR,COLORADO,BRAND+WHEEL ALIGNMENT,
BP_G_SEM_BR_MIDWEST_BRAND ONLY,BP,G,SEM,BR,BR,BR,MIDWEST,BRAND ONLY,
BP_G_SEM_BR_MIDWEST_BRAND+,BP,G,SEM,BR,BR,BR,MIDWEST,BRAND+,
BP_G_SEM_BR_MIDWEST_BRAND+OIL CHANGE,BP,G,SEM,BR,BR,BR,MIDWEST,BRAND+OIL CHANGE,
BP_G_SEM_BR_MIDWEST_BRAND+SERVICES,BP,G,SEM,BR,BR,BR,MIDWEST,BRAND+SERVICES,
BP_G_SEM_BR_MIDWEST_BRAND+WHEEL ALIGNMENT,BP,G,SEM,BR,BR,BR,MIDWEST,BRAND+WHEEL ALIGNMENT,
BP_G_SEM_BR_TEXAS_BRAND ONLY,BP,G,SEM,BR,BR,BR,TEXAS,BRAND ONLY,
BP_G_SEM_BR_TEXAS_BRAND+,BP,G,SEM,BR,BR,BR,TEXAS,BRAND+,
BP_G_SEM_BR_TEXAS_BRAND+OIL CHANGE,BP,G,SEM,BR,BR,BR,TEXAS,BRAND+OIL CHANGE,
BP_G_SEM_BR_TEXAS_BRAND+SERVICES,BP,G,SEM,BR,BR,BR,TEXAS,BRAND+SERVICES,
BP_G_SEM_BR_TEXAS_BRAND+WHEEL ALIGNMENT,BP,G,SEM,BR,BR,BR,TEXAS,BRAND+WHEEL ALIGNMENT,
BP_G_SEM_CP_ARIZONA_Competition,BP,G,SEM,CP,CP,CP,ARIZONA,Competition,
BP_G_SEM_CP_ARIZONA_FIRESTONE,BP,G,SEM,CP,CP,CP,ARIZONA,FIRESTONE,
BP_G_SEM_CP_ARIZONA_GOODYEAR,BP,G,SEM,CP,CP,CP,ARIZONA,GOODYEAR,
BP_G_SEM_CP_ARIZONA_MIDAS,BP,G,SEM,CP,CP,CP,ARIZONA,MIDAS,
BP_G_SEM_CP_ARIZONA_WALMART,BP,G,SEM,CP,CP,CP,ARIZONA,WALMART,
BP_G_SEM_CP_COLORADO_COMPETITION,BP,G,SEM,CP,CP,CP,COLORADO,COMPETITION,
BP_G_SEM_CP_COLORADO_FIRESTONE,BP,G,SEM,CP,CP,CP,COLORADO,FIRESTONE,
BP_G_SEM_CP_COLORADO_GOODYEAR,BP,G,SEM,CP,CP,CP,COLORADO,GOODYEAR,
BP_G_SEM_CP_COLORADO_MIDAS,BP,G,SEM,CP,CP,CP,COLORADO,MIDAS,
BP_G_SEM_CP_COLORADO_WALMART,BP,G,SEM,CP,CP,CP,COLORADO,WALMART,
BP_G_SEM_CP_MIDWEST_COMPETITION,BP,G,SEM,CP,CP,CP,MIDWEST,COMPETITION,
BP_G_SEM_CP_MIDWEST_FIRESTONE,BP,G,SEM,CP,CP,CP,MIDWEST,FIRESTONE,
BP_G_SEM_CP_MIDWEST_GOODYEAR,BP,G,SEM,CP,CP,CP,MIDWEST,GOODYEAR,
BP_G_SEM_CP_MIDWEST_MIDAS,BP,G,SEM,CP,CP,CP,MIDWEST,MIDAS,
BP_G_SEM_CP_MIDWEST_WALMART,BP,G,SEM,CP,CP,CP,MIDWEST,WALMART,
BP_G_SEM_CP_TEXAS_Competition,BP,G,SEM,CP,CP,CP,TEXAS,Competition,
BP_G_SEM_CP_TEXAS_FIRESTONE,BP,G,SEM,CP,CP,CP,TEXAS,FIRESTONE,
BP_G_SEM_CP_TEXAS_GOODYEAR,BP,G,SEM,CP,CP,CP,TEXAS,GOODYEAR,
BP_G_SEM_CP_TEXAS_MIDAS,BP,G,SEM,CP,CP,CP,TEXAS,MIDAS,
BP_G_SEM_CP_TEXAS_WALMART,BP,G,SEM,CP,CP,CP,TEXAS,WALMART,
BP_G_SEM_NB AI_COLORADO_AI,BP,G,SEM,NB AI,NB AI,NB AI,COLORADO,AI,
BP_G_SEM_NB_ARIZONA_BRAKES,BP,G,SEM,NB BRAKES,NB,BRAKES,ARIZONA,BRAKES,
BP_G_SEM_NB_ARIZONA_OIL CHANGE,BP,G,SEM,NB OIL CHANGE,NB,OIL CHANGE,ARIZONA,OIL CHANGE,
BP_G_SEM_NB_ARIZONA_OTHER SERVICES,BP,G,SEM,NB OTHER SERVICES,NB,OTHER SERVICES,ARIZONA,OTHER SERVICES,
BP_G_SEM_NB_ARIZONA_WHEEL ALIGNMENT,BP,G,SEM,NB WHEEL ALIGNMENT,NB,WHEEL ALIGNMENT,ARIZONA,WHEEL ALIGNMENT,
BP_G_SEM_NB_COLORADO_BRAKES,BP,G,SEM,NB BRAKES,NB,BRAKES,COLORADO,BRAKES,
BP_G_SEM_NB_COLORADO_OIL CHANGE,BP,G,SEM,NB OIL CHANGE,NB,OIL CHANGE,COLORADO,OIL CHANGE,
BP_G_SEM_NB_COLORADO_OTHER SERVICES,BP,G,SEM,NB OTHER SERVICES,NB,OTHER SERVICES,COLORADO,OTHER SERVICES,
BP_G_SEM_NB_COLORADO_WHEEL ALIGNMENT,BP,G,SEM,NB WHEEL ALIGNMENT,NB,WHEEL ALIGNMENT,COLORADO,WHEEL ALIGNMENT,
BP_G_SEM_NB_MIDWEST_BRAKES,BP,G,SEM,NB BRAKES,NB,BRAKES,MIDWEST,BRAKES,
BP_G_SEM_NB_MIDWEST_OIL CHANGE,BP,G,SEM,NB OIL CHANGE,NB,OIL CHANGE,MIDWEST,OIL CHANGE,
BP_G_SEM_NB_MIDWEST_OTHER SERVICES,BP,G,SEM,NB OTHER SERVICES,NB,OTHER SERVICES,MIDWEST,OTHER SERVICES,
BP_G_SEM_NB_MIDWEST_WHEEL ALIGNMENT,BP,G,SEM,NB WHEEL ALIGNMENT,NB,WHEEL ALIGNMENT,MIDWEST,WHEEL ALIGNMENT,
BP_G_SEM_NB_TEXAS_BRAKES,BP,G,SEM,NB BRAKES,NB,BRAKES,TEXAS,BRAKES,
BP_G_SEM_NB_TEXAS_OIL CHANGE,BP,G,SEM,NB OIL CHANGE,NB,OIL CHANGE,TEXAS,OIL CHANGE,
BP_G_SEM_NB_TEXAS_OTHER SERVICES,BP,G,SEM,NB OTHER SERVICES,NB,OTHER SERVICES,TEXAS,OTHER SERVICES,
BP_G_SEM_NB_TEXAS_WHEEL ALIGNMENT,BP,G,SEM,NB WHEEL ALIGNMENT,NB,WHEEL ALIGNMENT,TEXAS,WHEEL ALIGNMENT,
BP_G_SEM_NS 157_MIDWEST,BP,G,SEM,Pilot,Pilot,Pilot,MIDWEST,,
BP_G_SEM_NS 360_TEXAS,BP,G,SEM,Pilot,Pilot,Pilot,TEXAS,,
BP_G_SEM_NS 362_TEXAS,BP,G,SEM,Pilot,Pilot,Pilot,TEXAS,,
BP_G_SEM_NS 501_OKLAHOMA,BP,G,SEM,Pilot,Pilot,Pilot,OKLAHOMA,,
