Dates,Account name,Customer ID,Campaign,Campaign bid strategy,Currency code,Cost,Impr.,Search impr. share,Search lost IS (budget),Search lost IS (rank),Clicks,Click share,Phone calls,Conversions,Cost / conv.,Avg. target CPA,Marchex Landing Page Calls,Marchex Landing Page Calls,Marchex Landing Page Calls,Marchex Landing Page Calls,Marchex Landing Page Calls,Reservation Confirmation (Google Pixel),Reservation Confirmation (Google Pixel),Reservation Confirmation (Google Pixel),Reservation Confirmation (Google Pixel),Reservation Confirmation (Google Pixel),Total Available Impr.,Lost to Budget,Lost to Rank,LP Calls,Web Reservations,Calls,Resv.,Main Conversions,tCPA,Brand,Engine,Camp Type,Category,Category 1,Category 2,Region,Category 3
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_PMX_TEXAS, --,USD,4470.63,183263,0.3748,0.218,0.4072,2725,0.1094,574,567.9,7.87,6.25,1,0,0,0,0,35.61,0,0,0,0,488962,106593.716,199105.3264,1,35.61,575,36,611,,BP,G,PMX,PMX,PMX,PMX,TEXAS,0
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_PMX_COLORADO, --,USD,2254.24,115743,0.3722,0.0562,0.5717,1305,0.1072,261,283.56,7.95,6.25,1,0,0,0,0,43.19,0,0,0,0,310970,17476.514,177781.549,1,43.19,262,43,305,,BP,G,PMX,PMX,PMX,PMX,COLORADO,0
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_PMX_ARIZONA, --,USD,2835.02,85897,0.3861,0.1307,0.4833,1511,0.1216,384,425.94,6.66,6.25,1,0,0,0,0,65.87,0,0,0,0,222473,29077.221100000002,107521.2009,1,65.87,385,66,451,,BP,G,PMX,PMX,PMX,PMX,ARIZONA,0
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_TEXAS_OTHER SERVICES,BP - Texas - Maximize Conversion - Non Brand - Services,USD,4172.66,54648,0.2633,0.1511,0.5856,2520,0.1533,542,598.98,6.97,0,4.5,0,0,0,0,82.28,0,0,0,0,207550,31360.805000000004,121541.28,4.5,82.28,547,82,629,5.5,BP,G,SEM,NB OTHER SERVICES,NB,OTHER SERVICES,TEXAS,OTHER SERVICES
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_PMX_MIDWEST, --,USD,1782.94,49587,0.4134,0,0.5866,837,0.1494,256,258.16,6.91,6.25,2.2,0,0,0,0,19.07,0,0,0,0,119949,0,70362.0834,2.2,19.07,258,19,277,,BP,G,PMX,PMX,0,0,MIDWEST,0
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_TEXAS_OIL CHANGE,BP - Texas - Maximize Conversion - Oil Change,USD,5152.78,39637,0.3019,0.0706,0.6276,1889,0.2005,271,426.4,12.08,0,23,0,0,0,0,148.58,0,0,0,0,131292,9269.215199999999,82398.8592,23,148.58,294,149,443,10,BP,G,SEM,NB OIL CHANGE,NB,OIL CHANGE,TEXAS,OIL CHANGE
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_TEXAS_BRAKES,BP - Texas - Maximize Conversion - Non Brand - Brakes,USD,6285.88,25148,0.3202,0.0003,0.6795,2035,0.2797,428,562.83,11.17,0,16.5,0,0,0,0,146.09,0,0,0,0,78538,23.5614,53366.570999999996,16.5,146.09,445,146,591,11,BP,G,SEM,NB BRAKES,NB,BRAKES,TEXAS,BRAKES
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_MIDWEST_OIL CHANGE,BP - Midwest - Maximize Conversion - Oil Change,USD,7009.64,20859,0.504,0.0011,0.4949,1622,0.4843,189,418.68,16.74,0,22.33,0,0,0,0,211.06,0,0,0,0,41387,45.5257,20482.4263,22.33,211.06,211,211,422,15,BP,G,SEM,NB OIL CHANGE,NB,OIL CHANGE,MIDWEST,OIL CHANGE
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_ARIZONA_OIL CHANGE,BP - Arizona - Maximize Conversion - Oil Change,USD,4558.3,19250,0.3629,0.0128,0.6244,1426,0.2701,173,339.6,13.42,0,22,0,0,0,0,139.43,0,0,0,0,53045,678.976,33121.297999999995,22,139.43,195,139,334,11,BP,G,SEM,NB OIL CHANGE,NB,OIL CHANGE,ARIZONA,OIL CHANGE
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NB_COLORADO_OIL CHANGE,BP - Colorado - Maximize Conversion - Oil Change,USD,4983.85,19207,0.375,0.0266,0.5984,1119,0.2588,134,277.32,17.97,0,19.5,0,0,0,0,115,0,0,0,0,51219,1362.4253999999999,30649.449600000004,19.5,115,154,115,269,15,BP,G,SEM,NB OIL CHANGE,NB,OIL CHANGE,COLORADO,OIL CHANGE
