,,Spend/Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impr. Share,Spend/Day,,Leads/Week,CPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,2987.537095238095,20912.759666666665,1754.166666666666,4.6000000000000005,,0.6584297779167969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,3320.394238095238,23242.759666666665,2664.166666666666,5.300000000000001,0.5187648456057008,0.7476963375274802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,3654.6799523809523,25582.759666666665,3563.166666666666,6,0.33744135126681263,0.8188991458229593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,4041.822809523809,28292.759666666665,4351.166666666666,6.65,0.22115159736189716,0.8928827935291904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,4550.394238095238,31852.759666666665,4873.166666666666,7.17,0.11996782472133916,0.9170142700329308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,5086.108523809524,35602.759666666665,5314.166666666666,7.68,0.09049557098395988,0.9316289262235208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,5646.108523809524,39522.759666666665,5704.166666666666,8.18,0.07338874078720403,0.9661256175017643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,5917.537095238095,41422.759666666665,5904.166666666666,8.43,0.03506208911614328,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.55,5917.537095238095,41422.759666666665,5904.166666666666,8.43,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6,5917.537095238095,41422.759666666665,5904.166666666666,8.43,0,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Impr. Share,Spend/Day,,Spend/Week,,Spend/Month,,Leads/Day,,Leads/Week,,Leads/Month,,CPL,
,,,,,,,,,,,,,LW,0.33,3700,0,6.49,0,,,LW - 33%,3888.9656666666665,,27222.759666666665,,116668.97,,599.1666666666666,,4194.166666666666,,17975,,6.49,6.490624200278164
,,,,,,,,,,,,,,,,,,,,,Impr. Share,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Impr. Share,Daily Budget,Weekly Conv,Cost/Conv,Weekly Cost,,,,Spend/Day,,Spend/Week,,Spend/Month,,Leads/Day,,Leads/Week,,Leads/Month,,CPL,
,,,,,,,,,,,,,-2.44K-$1.89-$6.31K,0.2,1000,-2440,-1.89,-6310,,,0.2,2987.537095238095,,20912.759666666665,,89626.11285714284,,250.59523809523802,,1754.166666666666,,7517.85714285714,,4.6000000000000005,11.921763230403803
,,,,,,,,,,,,,-1.53K-$1.19-$3.98K,0.25,2000,-1530,-1.19,-3980,,,0.25,3320.394238095238,332.8571428571431,23242.759666666665,2330,99611.82714285715,9985.714285714304,380.595238095238,130,2664.166666666666,910,11417.857142857141,3900.000000000001,5.300000000000001,8.724213825461371
,,,,,,,,,,,,,-631-$0.49-$1.64K,0.3,3000,-631,-0.49,-1640,,,0.3,3654.6799523809523,334.2857142857142,25582.759666666665,2340,109640.39857142857,10028.57142857142,509.02380952380946,128.42857142857144,3563.166666666666,899,15270.714285714284,3852.857142857143,6,7.179781935544226
,,,,,,,,,,,,,+157+$0.16+$1.07K,0.35,4000,157,0.16,1070,,,0.35,4041.822809523809,387.1428571428569,28292.759666666665,2710,121254.68428571428,11614.28571428571,621.595238095238,112.5714285714285,4351.166666666666,788,18647.857142857138,3377.1428571428532,6.65,6.502338759719616
,,,,,,,,,,,,,+679+$0.68+$4.63K,0.4,5000,679,0.68,4630,,,0.4,4550.394238095238,508.57142857142844,31852.759666666665,3560,136511.82714285713,15257.142857142855,696.1666666666666,74.57142857142867,4873.166666666666,522,20885,2237.1428571428623,7.17,6.536357536167448
,,,,,,,,,,,,,+1.12K+$1.19+$8.38K,0.45,6000,1120,1.19,8380,,,0.45,5086.108523809524,535.7142857142862,35602.759666666665,3750,152583.2557142857,16071.42857142858,759.1666666666666,63,5314.166666666666,441,22775,1890,7.68,6.699594103810569
,,,,,,,,,,,,,+1.51K+$1.69+$12.3K,0.5,7000,1510,1.69,12300,,,0.5,5646.108523809524,560,39522.759666666665,3920,169383.2557142857,16800,814.8809523809523,55.714285714285666,5704.166666666666,390,24446.42857142857,1671.4285714285688,8.18,6.9287526077428785
,,,,,,,,,,,,,+1.71K+$1.94+$14.2K,0.55,8000,1710,1.94,14200,,,0.55,5917.537095238095,271.42857142857156,41422.759666666665,1900,177526.11285714287,8142.8571428571595,843.4523809523808,28.571428571428555,5904.166666666666,200,25303.571428571424,857.1428571428551,8.43,7.0158520254057875
,,,,,,,,,,,,,+1.71K+$1.94+$14.2K,0.6,9000,1710,1.94,14200,,,0.6,5917.537095238095,0,41422.759666666665,0,177526.11285714287,0,843.4523809523808,0,5904.166666666666,0,25303.571428571424,0,8.43,7.0158520254057875
,,,,,,,,,,,,,+1.71K+$1.94+$14.2K,0.65,10000,1710,1.94,14200,,,0.65,5917.537095238095,0,41422.759666666665,0,177526.11285714287,0,843.4523809523808,0,5904.166666666666,0,25303.571428571424,0,8.43,7.0158520254057875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impr. Share,Leads/Week,Cost per Lead,Spend/Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,1754.166666666666,4.6000000000000005,2987.537095238095,20912.759666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,2664.166666666666,5.300000000000001,3320.394238095238,23242.759666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,3563.166666666666,6,3654.6799523809523,25582.759666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3,4351.166666666666,6.65,4041.822809523809,28292.759666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,4873.166666666666,7.17,4550.394238095238,31852.759666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4,5314.166666666666,7.68,5086.108523809524,35602.759666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,5704.166666666666,8.18,5646.108523809524,39522.759666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
